table "QTableWidget example"
  table_row "A populated native Qt table used to compare xa11y role classification."
    table_cell "W0C0: Alpha"
    table_cell "W0C1: 10"
    table_cell "W0C2: first row"
  table_row "A populated native Qt table used to compare xa11y role classification."
    table_cell "W1C0: Bravo"
    table_cell "W1C1: 20"
    table_cell "W1C2: second row"
  table_row "A populated native Qt table used to compare xa11y role classification."
    table_cell "W2C0: Charlie"
    table_cell "W2C1: 30"
    table_cell "W2C2: third row"
  table_row "A populated native Qt table used to compare xa11y role classification."
    table_cell "W3C0: Delta"
    table_cell "W3C1: 40"
    table_cell "W3C2: fourth row"
  table_row "A populated native Qt table used to compare xa11y role classification."
    table_cell "W4C0: Echo"
    table_cell "W4C1: 50"
    table_cell "W4C2: fifth row"
  group "A populated native Qt table used to compare xa11y role classification."
  group "A populated native Qt table used to compare xa11y role classification."
  group "A populated native Qt table used to compare xa11y role classification."
